AREA,TAG,DIAMETER,CALC_NOTES,PID,ISO,STRESS,SUPPORT
023A1,023A1-021903-200-SC-16CS22-0006-PP_01,6,unset,50,30,0,60
023A1,023A1-021903-80-AV-10SU21-0001_01,4,unset,50,30,0,60
023A1,023A1-021601-100-WSS-16SS21-0040_01,6,unset,50,30,0,60
023A1,023A1-021404-100-SC-16CS22-0001-HC_01,4,unset,70,60,0,60
023A1,023A1-021942-50-NA1-10SS21-0005-PP_01,1,unset,50,60,0,60
023A1,023A1-021942-50-NA1-10SS21-0007-PP_01,1,unset,50,30,0,60
023A1,023A1-021942-25-NA1-10SS21-0003-PP_01,1,unset,50,60,0,60
023A1,023A1-021917-25-NA1-10SS21-0001-PP_01,1,unset,50,30,0,60
023A1,023A1-021942-25-NA1-10SS21-0007-PP_01,1,unset,50,30,0,60
023A1,023A1-021942-40-NA1-10SS21-0001-PP_01,2,unset,50,60,0,60
023A1,023A1-021921-50-PNW-10SS21-0025_01,1,unset,50,60,0,60
023A1,023A1-021942-25-NA2-16SU21-0001-HC_01,2,unset,70,60,0,60
023A1,023A1-021942-25-NA2-16SU21-0002-ET_01,2,unset,50,60,0,60
023A1,023A1-021916-50-SW1-10SS21-0010_01,2,unset,50,30,0,60
023A1,023A1-021916-50-SW1-10SS21-0004_01,2,unset,70,60,0,60
023A1,023A1-021916-50-SW1-10SS21-0005_01,2,unset,50,30,0,60
023A1,023A1-021921-50-PNW-10SS21-0022_01,2,unset,50,30,0,60
023A1,023A1-021917-80-PW-10SS21-0036_01,2,unset,50,30,0,60
023A1,023A1-021601-25-WSS-16SS21-0038_01,1,unset,70,30,0,60
023A1,023A1-021925-50-PC-10SS21-0011-HC_01,2,unset,70,60,0,60
023A1,023A1-021917-80-PW-10SS21-0045_01,2,unset,70,30,0,60
023A1,023A1-021403-100-PV-10SS21-0006_01,4,unset,70,60,0,60
023A1,023A1-021925-50-PC-10SS21-0006-HC_01,2,unset,70,60,0,60
023A1,023A1-021917-25-PW-10SS21-0003_01,1,unset,50,30,0,60
023A1,023A1-021961-100-CWS2-10CS21-0006_01,4,unset,70,60,0,60
023A1,023A1-021917-100-CWR2-10CS21-0001_01,4,unset,50,30,0,60
023A1,023A1-021921-200-PNW-10SS21-0012_01,8,unset,50,60,0,60
023A1,023A1-021917-150-PW-10SS21-0027_01,6,unset,50,30,0,60
023A1,023A1-021917-150-PW-10SS21-0026_01,6,unset,50,30,0,60
023A1,023A1-021917-80-PW-10SS21-0020_01,3,unset,70,60,0,60
023A1,023A1-021917-80-PW-10SS21-0021_01,3,unset,70,60,0,60
023A1,023A1-021917-80-PW-10SS21-0022_01,3,unset,70,60,0,60
023A1,023A1-021917-80-PW-10SS21-0025_01,3,unset,70,60,0,60
023A1,023A1-021917-200-PC-10SS21-0002-HC_01,8,unset,50,30,60,60
023A1,023A1-021917-150-PC-10SS21-0003-HC_01,6,unset,50,30,60,60
023A1,023A1-021917-150-PW-10SS21-0011-HC_01,6,unset,50,30,0,60
023A1,023A1-021917-150-PW-10SS21-0012_01,6,unset,50,30,0,60
023A1,023A1-021917-150-CIP-10SS21-0001-HC_01,6,unset,50,30,0,60
